REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGAUTXX00,31.536
GLOBAL,PWROCGAUTXX00,31.536
GLOBAL,PWRHYDAUTXX01,31.536
GLOBAL,PWROILAUTXX01,31.536
GLOBAL,PWRSPVAUTXX01,31.536
GLOBAL,PWROTHAUTXX01,31.536
GLOBAL,PWRCSPAUTXX01,31.536
GLOBAL,PWRBIOAUTXX01,31.536
GLOBAL,PWRCOAAUTXX01,31.536
GLOBAL,PWRURNAUTXX01,31.536
GLOBAL,PWRWONAUTXX01,31.536
GLOBAL,PWRWASAUTXX01,31.536
GLOBAL,PWRWOFAUTXX01,31.536
GLOBAL,PWRWAVAUTXX01,31.536
GLOBAL,PWRPETAUTXX01,31.536
GLOBAL,PWRGEOAUTXX01,31.536
GLOBAL,PWRCOGAUTXX01,31.536
GLOBAL,PWRCCSAUTXX01,31.536
GLOBAL,PWRCCGBELXX00,31.536
GLOBAL,PWROCGBELXX00,31.536
GLOBAL,PWRHYDBELXX01,31.536
GLOBAL,PWROILBELXX01,31.536
GLOBAL,PWRSPVBELXX01,31.536
GLOBAL,PWROTHBELXX01,31.536
GLOBAL,PWRCSPBELXX01,31.536
GLOBAL,PWRBIOBELXX01,31.536
GLOBAL,PWRCOABELXX01,31.536
GLOBAL,PWRURNBELXX01,31.536
GLOBAL,PWRWONBELXX01,31.536
GLOBAL,PWRWASBELXX01,31.536
GLOBAL,PWRWOFBELXX01,31.536
GLOBAL,PWRWAVBELXX01,31.536
GLOBAL,PWRPETBELXX01,31.536
GLOBAL,PWRGEOBELXX01,31.536
GLOBAL,PWRCOGBELXX01,31.536
GLOBAL,PWRCCSBELXX01,31.536
GLOBAL,PWRCCGCHEXX00,31.536
GLOBAL,PWROCGCHEXX00,31.536
GLOBAL,PWRHYDCHEXX01,31.536
GLOBAL,PWROILCHEXX01,31.536
GLOBAL,PWRSPVCHEXX01,31.536
GLOBAL,PWROTHCHEXX01,31.536
GLOBAL,PWRCSPCHEXX01,31.536
GLOBAL,PWRBIOCHEXX01,31.536
GLOBAL,PWRCOACHEXX01,31.536
GLOBAL,PWRURNCHEXX01,31.536
GLOBAL,PWRWONCHEXX01,31.536
GLOBAL,PWRWASCHEXX01,31.536
GLOBAL,PWRWOFCHEXX01,31.536
GLOBAL,PWRWAVCHEXX01,31.536
GLOBAL,PWRPETCHEXX01,31.536
GLOBAL,PWRGEOCHEXX01,31.536
GLOBAL,PWRCOGCHEXX01,31.536
GLOBAL,PWRCCSCHEXX01,31.536
GLOBAL,PWRCCGDEUXX00,31.536
GLOBAL,PWROCGDEUXX00,31.536
GLOBAL,PWRHYDDEUXX01,31.536
GLOBAL,PWROILDEUXX01,31.536
GLOBAL,PWRSPVDEUXX01,31.536
GLOBAL,PWROTHDEUXX01,31.536
GLOBAL,PWRCSPDEUXX01,31.536
GLOBAL,PWRBIODEUXX01,31.536
GLOBAL,PWRCOADEUXX01,31.536
GLOBAL,PWRURNDEUXX01,31.536
GLOBAL,PWRWONDEUXX01,31.536
GLOBAL,PWRWASDEUXX01,31.536
GLOBAL,PWRWOFDEUXX01,31.536
GLOBAL,PWRWAVDEUXX01,31.536
GLOBAL,PWRPETDEUXX01,31.536
GLOBAL,PWRGEODEUXX01,31.536
GLOBAL,PWRCOGDEUXX01,31.536
GLOBAL,PWRCCSDEUXX01,31.536
GLOBAL,PWRCCGESPXX00,31.536
GLOBAL,PWROCGESPXX00,31.536
