REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOAUTXX01,2015,2400.0
GLOBAL,PWRBIOAUTXX01,2016,2400.0
GLOBAL,PWRBIOAUTXX01,2017,2400.0
GLOBAL,PWRBIOAUTXX01,2018,2400.0
GLOBAL,PWRBIOAUTXX01,2019,2400.0
GLOBAL,PWRBIOAUTXX01,2020,2390.91
GLOBAL,PWRBIOAUTXX01,2021,2381.82
GLOBAL,PWRBIOAUTXX01,2022,2372.73
GLOBAL,PWRBIOAUTXX01,2023,2363.64
GLOBAL,PWRBIOAUTXX01,2024,2354.55
GLOBAL,PWRBIOAUTXX01,2025,2345.45
GLOBAL,PWRBIOAUTXX01,2026,2336.36
GLOBAL,PWRBIOAUTXX01,2027,2327.27
GLOBAL,PWRBIOAUTXX01,2028,2318.18
GLOBAL,PWRBIOAUTXX01,2029,2309.09
GLOBAL,PWRBIOAUTXX01,2030,2300.0
GLOBAL,PWRBIOAUTXX01,2031,2295.0
GLOBAL,PWRBIOAUTXX01,2032,2290.0
GLOBAL,PWRBIOAUTXX01,2033,2285.0
GLOBAL,PWRBIOAUTXX01,2034,2280.0
GLOBAL,PWRBIOAUTXX01,2035,2275.0
GLOBAL,PWRBIOAUTXX01,2036,2270.0
GLOBAL,PWRBIOAUTXX01,2037,2265.0
GLOBAL,PWRBIOAUTXX01,2038,2260.0
GLOBAL,PWRBIOAUTXX01,2039,2255.0
GLOBAL,PWRBIOAUTXX01,2040,2250.0
GLOBAL,PWRBIOAUTXX01,2041,2250.0
GLOBAL,PWRBIOAUTXX01,2042,2250.0
GLOBAL,PWRBIOAUTXX01,2043,2250.0
GLOBAL,PWRBIOAUTXX01,2044,2250.0
GLOBAL,PWRBIOAUTXX01,2045,2250.0
GLOBAL,PWRBIOAUTXX01,2046,2250.0
GLOBAL,PWRBIOAUTXX01,2047,2250.0
GLOBAL,PWRBIOAUTXX01,2048,2250.0
GLOBAL,PWRBIOAUTXX01,2049,2250.0
GLOBAL,PWRBIOAUTXX01,2050,2250.0
GLOBAL,PWRBIOBELXX01,2015,2400.0
GLOBAL,PWRBIOBELXX01,2016,2400.0
GLOBAL,PWRBIOBELXX01,2017,2400.0
GLOBAL,PWRBIOBELXX01,2018,2400.0
GLOBAL,PWRBIOBELXX01,2019,2400.0
GLOBAL,PWRBIOBELXX01,2020,2390.91
GLOBAL,PWRBIOBELXX01,2021,2381.82
GLOBAL,PWRBIOBELXX01,2022,2372.73
GLOBAL,PWRBIOBELXX01,2023,2363.64
GLOBAL,PWRBIOBELXX01,2024,2354.55
GLOBAL,PWRBIOBELXX01,2025,2345.45
GLOBAL,PWRBIOBELXX01,2026,2336.36
GLOBAL,PWRBIOBELXX01,2027,2327.27
GLOBAL,PWRBIOBELXX01,2028,2318.18
GLOBAL,PWRBIOBELXX01,2029,2309.09
GLOBAL,PWRBIOBELXX01,2030,2300.0
GLOBAL,PWRBIOBELXX01,2031,2295.0
GLOBAL,PWRBIOBELXX01,2032,2290.0
GLOBAL,PWRBIOBELXX01,2033,2285.0
GLOBAL,PWRBIOBELXX01,2034,2280.0
GLOBAL,PWRBIOBELXX01,2035,2275.0
GLOBAL,PWRBIOBELXX01,2036,2270.0
GLOBAL,PWRBIOBELXX01,2037,2265.0
GLOBAL,PWRBIOBELXX01,2038,2260.0
GLOBAL,PWRBIOBELXX01,2039,2255.0
GLOBAL,PWRBIOBELXX01,2040,2250.0
GLOBAL,PWRBIOBELXX01,2041,2250.0
GLOBAL,PWRBIOBELXX01,2042,2250.0
GLOBAL,PWRBIOBELXX01,2043,2250.0
GLOBAL,PWRBIOBELXX01,2044,2250.0
GLOBAL,PWRBIOBELXX01,2045,2250.0
GLOBAL,PWRBIOBELXX01,2046,2250.0
GLOBAL,PWRBIOBELXX01,2047,2250.0
GLOBAL,PWRBIOBELXX01,2048,2250.0
GLOBAL,PWRBIOBELXX01,2049,2250.0
GLOBAL,PWRBIOBELXX01,2050,2250.0
GLOBAL,PWRBIOCHEXX01,2015,2400.0
GLOBAL,PWRBIOCHEXX01,2016,2400.0
GLOBAL,PWRBIOCHEXX01,2017,2400.0
GLOBAL,PWRBIOCHEXX01,2018,2400.0
GLOBAL,PWRBIOCHEXX01,2019,2400.0
GLOBAL,PWRBIOCHEXX01,2020,2390.91
GLOBAL,PWRBIOCHEXX01,2021,2381.82
GLOBAL,PWRBIOCHEXX01,2022,2372.73
GLOBAL,PWRBIOCHEXX01,2023,2363.64
GLOBAL,PWRBIOCHEXX01,2024,2354.55
GLOBAL,PWRBIOCHEXX01,2025,2345.45
GLOBAL,PWRBIOCHEXX01,2026,2336.36
GLOBAL,PWRBIOCHEXX01,2027,2327.27
GLOBAL,PWRBIOCHEXX01,2028,2318.18
GLOBAL,PWRBIOCHEXX01,2029,2309.09
GLOBAL,PWRBIOCHEXX01,2030,2300.0
GLOBAL,PWRBIOCHEXX01,2031,2295.0
GLOBAL,PWRBIOCHEXX01,2032,2290.0
GLOBAL,PWRBIOCHEXX01,2033,2285.0
GLOBAL,PWRBIOCHEXX01,2034,2280.0
GLOBAL,PWRBIOCHEXX01,2035,2275.0
GLOBAL,PWRBIOCHEXX01,2036,2270.0
GLOBAL,PWRBIOCHEXX01,2037,2265.0
GLOBAL,PWRBIOCHEXX01,2038,2260.0
GLOBAL,PWRBIOCHEXX01,2039,2255.0
GLOBAL,PWRBIOCHEXX01,2040,2250.0
GLOBAL,PWRBIOCHEXX01,2041,2250.0
GLOBAL,PWRBIOCHEXX01,2042,2250.0
GLOBAL,PWRBIOCHEXX01,2043,2250.0
GLOBAL,PWRBIOCHEXX01,2044,2250.0
GLOBAL,PWRBIOCHEXX01,2045,2250.0
GLOBAL,PWRBIOCHEXX01,2046,2250.0
GLOBAL,PWRBIOCHEXX01,2047,2250.0
GLOBAL,PWRBIOCHEXX01,2048,2250.0
GLOBAL,PWRBIOCHEXX01,2049,2250.0
GLOBAL,PWRBIOCHEXX01,2050,2250.0
GLOBAL,PWRBIODEUXX01,2015,2400.0
GLOBAL,PWRBIODEUXX01,2016,2400.0
GLOBAL,PWRBIODEUXX01,2017,2400.0
GLOBAL,PWRBIODEUXX01,2018,2400.0
GLOBAL,PWRBIODEUXX01,2019,2400.0
GLOBAL,PWRBIODEUXX01,2020,2390.91
GLOBAL,PWRBIODEUXX01,2021,2381.82
GLOBAL,PWRBIODEUXX01,2022,2372.73
GLOBAL,PWRBIODEUXX01,2023,2363.64
GLOBAL,PWRBIODEUXX01,2024,2354.55
GLOBAL,PWRBIODEUXX01,2025,2345.45
GLOBAL,PWRBIODEUXX01,2026,2336.36
GLOBAL,PWRBIODEUXX01,2027,2327.27
GLOBAL,PWRBIODEUXX01,2028,2318.18
GLOBAL,PWRBIODEUXX01,2029,2309.09
GLOBAL,PWRBIODEUXX01,2030,2300.0
GLOBAL,PWRBIODEUXX01,2031,2295.0
GLOBAL,PWRBIODEUXX01,2032,2290.0
GLOBAL,PWRBIODEUXX01,2033,2285.0
GLOBAL,PWRBIODEUXX01,2034,2280.0
GLOBAL,PWRBIODEUXX01,2035,2275.0
