REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOAUTXX01,2015,85.0
GLOBAL,PWRBIOAUTXX01,2016,85.0
GLOBAL,PWRBIOAUTXX01,2017,85.0
GLOBAL,PWRBIOAUTXX01,2018,85.0
GLOBAL,PWRBIOAUTXX01,2019,85.0
GLOBAL,PWRBIOAUTXX01,2020,84.55
GLOBAL,PWRBIOAUTXX01,2021,84.09
GLOBAL,PWRBIOAUTXX01,2022,83.64
GLOBAL,PWRBIOAUTXX01,2023,83.18
GLOBAL,PWRBIOAUTXX01,2024,82.73
GLOBAL,PWRBIOAUTXX01,2025,82.27
GLOBAL,PWRBIOAUTXX01,2026,81.82
GLOBAL,PWRBIOAUTXX01,2027,81.36
GLOBAL,PWRBIOAUTXX01,2028,80.91
GLOBAL,PWRBIOAUTXX01,2029,80.45
GLOBAL,PWRBIOAUTXX01,2030,80.0
GLOBAL,PWRBIOAUTXX01,2031,80.0
GLOBAL,PWRBIOAUTXX01,2032,80.0
GLOBAL,PWRBIOAUTXX01,2033,80.0
GLOBAL,PWRBIOAUTXX01,2034,80.0
GLOBAL,PWRBIOAUTXX01,2035,80.0
GLOBAL,PWRBIOAUTXX01,2036,80.0
GLOBAL,PWRBIOAUTXX01,2037,80.0
GLOBAL,PWRBIOAUTXX01,2038,80.0
GLOBAL,PWRBIOAUTXX01,2039,80.0
GLOBAL,PWRBIOAUTXX01,2040,80.0
GLOBAL,PWRBIOAUTXX01,2041,80.0
GLOBAL,PWRBIOAUTXX01,2042,80.0
GLOBAL,PWRBIOAUTXX01,2043,80.0
GLOBAL,PWRBIOAUTXX01,2044,80.0
GLOBAL,PWRBIOAUTXX01,2045,80.0
GLOBAL,PWRBIOAUTXX01,2046,80.0
GLOBAL,PWRBIOAUTXX01,2047,80.0
GLOBAL,PWRBIOAUTXX01,2048,80.0
GLOBAL,PWRBIOAUTXX01,2049,80.0
GLOBAL,PWRBIOAUTXX01,2050,80.0
GLOBAL,PWRBIOBELXX01,2015,85.0
GLOBAL,PWRBIOBELXX01,2016,85.0
GLOBAL,PWRBIOBELXX01,2017,85.0
GLOBAL,PWRBIOBELXX01,2018,85.0
GLOBAL,PWRBIOBELXX01,2019,85.0
GLOBAL,PWRBIOBELXX01,2020,84.55
GLOBAL,PWRBIOBELXX01,2021,84.09
GLOBAL,PWRBIOBELXX01,2022,83.64
GLOBAL,PWRBIOBELXX01,2023,83.18
GLOBAL,PWRBIOBELXX01,2024,82.73
GLOBAL,PWRBIOBELXX01,2025,82.27
GLOBAL,PWRBIOBELXX01,2026,81.82
GLOBAL,PWRBIOBELXX01,2027,81.36
GLOBAL,PWRBIOBELXX01,2028,80.91
GLOBAL,PWRBIOBELXX01,2029,80.45
GLOBAL,PWRBIOBELXX01,2030,80.0
GLOBAL,PWRBIOBELXX01,2031,80.0
GLOBAL,PWRBIOBELXX01,2032,80.0
GLOBAL,PWRBIOBELXX01,2033,80.0
GLOBAL,PWRBIOBELXX01,2034,80.0
GLOBAL,PWRBIOBELXX01,2035,80.0
GLOBAL,PWRBIOBELXX01,2036,80.0
GLOBAL,PWRBIOBELXX01,2037,80.0
GLOBAL,PWRBIOBELXX01,2038,80.0
GLOBAL,PWRBIOBELXX01,2039,80.0
GLOBAL,PWRBIOBELXX01,2040,80.0
GLOBAL,PWRBIOBELXX01,2041,80.0
GLOBAL,PWRBIOBELXX01,2042,80.0
GLOBAL,PWRBIOBELXX01,2043,80.0
GLOBAL,PWRBIOBELXX01,2044,80.0
GLOBAL,PWRBIOBELXX01,2045,80.0
GLOBAL,PWRBIOBELXX01,2046,80.0
GLOBAL,PWRBIOBELXX01,2047,80.0
GLOBAL,PWRBIOBELXX01,2048,80.0
GLOBAL,PWRBIOBELXX01,2049,80.0
GLOBAL,PWRBIOBELXX01,2050,80.0
GLOBAL,PWRBIOCHEXX01,2015,85.0
GLOBAL,PWRBIOCHEXX01,2016,85.0
GLOBAL,PWRBIOCHEXX01,2017,85.0
GLOBAL,PWRBIOCHEXX01,2018,85.0
GLOBAL,PWRBIOCHEXX01,2019,85.0
GLOBAL,PWRBIOCHEXX01,2020,84.55
GLOBAL,PWRBIOCHEXX01,2021,84.09
GLOBAL,PWRBIOCHEXX01,2022,83.64
GLOBAL,PWRBIOCHEXX01,2023,83.18
GLOBAL,PWRBIOCHEXX01,2024,82.73
GLOBAL,PWRBIOCHEXX01,2025,82.27
GLOBAL,PWRBIOCHEXX01,2026,81.82
GLOBAL,PWRBIOCHEXX01,2027,81.36
