REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2015,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2016,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2017,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2018,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2019,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2020,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2021,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2022,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2023,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2024,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2025,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2026,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2027,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2028,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2029,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2030,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2031,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2032,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2033,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2034,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2035,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2036,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2037,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2038,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2039,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2040,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2041,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2042,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2043,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2044,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2045,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2046,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2047,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2048,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2049,2.63
GLOBAL,PWRCCGAUTXX00,GASAUT,1,2050,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2015,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2016,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2017,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2018,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2019,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2020,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2021,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2022,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2023,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2024,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2025,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2026,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2027,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2028,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2029,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2030,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2031,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2032,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2033,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2034,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2035,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2036,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2037,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2038,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2039,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2040,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2041,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2042,2.63
GLOBAL,PWRCCGAUTXX00,GASINT,2,2043,2.63
