REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCCGESPXX00,30
GLOBAL,PWROILFRAXX01,30
GLOBAL,PWRCCSPRTXX01,30
GLOBAL,PWRCCGESPXX01,30
GLOBAL,PWRWONPRTXX01,30
GLOBAL,PWRBIOFRAXX01,30
GLOBAL,PWRWASFRAXX01,30
GLOBAL,PWRBIODEUXX01,30
GLOBAL,PWROILDEUXX01,30
GLOBAL,PWROCGESPXX01,30
GLOBAL,PWRBIOPRTXX01,30
GLOBAL,PWRWOFLUXXX01,30
GLOBAL,PWRWONAUTXX01,30
GLOBAL,PWRCOAAUTXX01,30
GLOBAL,PWRWONESPXX01,30
GLOBAL,PWRCOGESPXX01,30
GLOBAL,PWRCCGDEUXX00,30
GLOBAL,PWRSPVESPXX01,30
GLOBAL,PWRCCGCHEXX01,30
GLOBAL,PWRCCGLUXXX01,30
GLOBAL,PWRCCSLUXXX01,30
GLOBAL,PWRWONLUXXX01,30
GLOBAL,PWROTHITAXX01,30
GLOBAL,PWRCCSFRAXX01,30
GLOBAL,PWRCOAFRAXX01,30
GLOBAL,PWRWONDEUXX01,30
GLOBAL,PWRBIOAUTXX01,30
GLOBAL,PWRSPVITAXX01,30
GLOBAL,PWRCSPESPXX01,30
GLOBAL,PWRWAVDEUXX01,20
GLOBAL,PWRCSPFRAXX01,30
GLOBAL,PWRWONFRAXX01,30
GLOBAL,PWRPETDEUXX01,30
GLOBAL,PWRCSPNLDXX01,30
GLOBAL,PWRCOGFRAXX01,30
GLOBAL,PWRPETESPXX01,30
GLOBAL,PWRBIOCHEXX01,30
GLOBAL,PWRCCGAUTXX00,30
GLOBAL,PWROILAUTXX01,30
GLOBAL,PWRWASESPXX01,30
GLOBAL,PWRWAVPRTXX01,20
GLOBAL,PWRWAVBELXX01,20
GLOBAL,PWRWAVLUXXX01,20
GLOBAL,PWRGEOAUTXX01,30
GLOBAL,PWRCCGFRAXX00,30
GLOBAL,PWRWOFNLDXX01,30
GLOBAL,PWRWOFPRTXX01,30
GLOBAL,PWRGEOLUXXX01,30
GLOBAL,PWROTHAUTXX01,30
GLOBAL,PWRURNNLDXX01,60
GLOBAL,PWRGEODEUXX01,30
GLOBAL,PWROTHBELXX01,30
GLOBAL,PWRHYDFRAXX01,100
GLOBAL,PWRCOGLUXXX01,30
GLOBAL,PWRSPVPRTXX01,30
GLOBAL,PWRCSPLUXXX01,30
GLOBAL,PWRPETPRTXX01,30
GLOBAL,PWRWASAUTXX01,30
GLOBAL,PWRWASDEUXX01,30
GLOBAL,PWROTHNLDXX01,30
GLOBAL,PWRBIONLDXX01,30
GLOBAL,PWROILITAXX01,30
GLOBAL,PWRCCGITAXX00,30
GLOBAL,PWRCCSBELXX01,30
GLOBAL,PWRCSPCHEXX01,30
GLOBAL,PWRCOGBELXX01,30
GLOBAL,PWROCGPRTXX00,30
GLOBAL,PWRCCGNLDXX00,30
GLOBAL,PWRWASITAXX01,30
GLOBAL,PWRWOFDEUXX01,30
GLOBAL,PWRWOFFRAXX01,30
GLOBAL,PWRCSPITAXX01,30
GLOBAL,PWRGEOBELXX01,30
GLOBAL,PWRHYDESPXX01,100
GLOBAL,PWRWAVAUTXX01,20
GLOBAL,PWRGEOESPXX01,30
GLOBAL,PWRSPVLUXXX01,30
GLOBAL,PWRCSPPRTXX01,30
GLOBAL,PWROCGITAXX01,30
GLOBAL,PWRPETLUXXX01,30
GLOBAL,PWRURNPRTXX01,60
GLOBAL,PWROTHESPXX01,30
GLOBAL,PWRCOABELXX01,30
GLOBAL,PWRCOANLDXX01,30
GLOBAL,PWROTHDEUXX01,30
GLOBAL,PWROILNLDXX01,30
GLOBAL,PWRWASCHEXX01,30
GLOBAL,PWRCOGNLDXX01,30
GLOBAL,PWRSPVCHEXX01,30
GLOBAL,PWRCOGITAXX01,30
GLOBAL,PWRWAVESPXX01,20
GLOBAL,PWROILLUXXX01,30
GLOBAL,PWRCCGFRAXX01,30
GLOBAL,PWRWASBELXX01,30
GLOBAL,PWRCCGPRTXX01,30
GLOBAL,PWRWOFESPXX01,30
GLOBAL,PWROTHLUXXX01,30
GLOBAL,PWRWOFCHEXX01,30
GLOBAL,PWRWONNLDXX01,30
GLOBAL,PWRCSPBELXX01,30
GLOBAL,PWRSPVBELXX01,30
GLOBAL,PWRCCGPRTXX00,30
GLOBAL,PWROCGCHEXX01,30
GLOBAL,PWROTHPRTXX01,30
GLOBAL,PWRCOGDEUXX01,30
GLOBAL,PWRBIOESPXX01,30
GLOBAL,PWRGEOPRTXX01,30
GLOBAL,PWRSPVAUTXX01,30
GLOBAL,PWRSPVNLDXX01,30
GLOBAL,PWRCCSDEUXX01,30
GLOBAL,PWRBIOLUXXX01,30
GLOBAL,PWROILBELXX01,30
GLOBAL,PWRPETFRAXX01,30
GLOBAL,PWRURNAUTXX01,60
GLOBAL,PWRWAVNLDXX01,20
GLOBAL,PWRWASNLDXX01,30
GLOBAL,PWROCGAUTXX01,30
GLOBAL,PWRCOGCHEXX01,30
GLOBAL,PWRPETAUTXX01,30
GLOBAL,PWRCSPDEUXX01,30
GLOBAL,PWROCGAUTXX00,30
GLOBAL,PWROCGPRTXX01,30
GLOBAL,PWRWOFITAXX01,30
GLOBAL,PWRURNESPXX01,60
GLOBAL,PWRCSPAUTXX01,30
GLOBAL,PWRCOGAUTXX01,30
GLOBAL,PWROCGBELXX00,30
GLOBAL,PWRCOAESPXX01,30
GLOBAL,PWRURNITAXX01,60
GLOBAL,PWRCOALUXXX01,30
GLOBAL,PWRBIOBELXX01,30
GLOBAL,PWRCCGCHEXX00,30
GLOBAL,PWRCOAPRTXX01,30
GLOBAL,PWRCCGDEUXX01,30
GLOBAL,PWRURNLUXXX01,60
GLOBAL,PWRPETNLDXX01,30
GLOBAL,PWRCOADEUXX01,30
GLOBAL,PWROCGNLDXX01,30
GLOBAL,PWROCGCHEXX00,30
GLOBAL,PWROTHCHEXX01,30
GLOBAL,PWROCGLUXXX00,30
GLOBAL,PWRURNDEUXX01,60
GLOBAL,PWROCGDEUXX00,30
GLOBAL,PWRSPVFRAXX01,30
GLOBAL,PWRPETBELXX01,30
GLOBAL,PWRHYDBELXX01,100
GLOBAL,PWRHYDNLDXX01,100
GLOBAL,PWRWONITAXX01,30
GLOBAL,PWROILCHEXX01,30
GLOBAL,PWRWASLUXXX01,30
GLOBAL,PWRWASPRTXX01,30
GLOBAL,PWRCCSESPXX01,30
GLOBAL,PWROCGFRAXX00,30
GLOBAL,PWRWOFBELXX01,30
GLOBAL,PWRHYDCHEXX01,100
GLOBAL,PWRWONCHEXX01,30
GLOBAL,PWRCCSAUTXX01,30
GLOBAL,PWRURNCHEXX01,60
GLOBAL,PWROILPRTXX01,30
GLOBAL,PWROILESPXX01,30
GLOBAL,PWRURNBELXX01,60
GLOBAL,PWRWAVFRAXX01,20
GLOBAL,PWRCCGNLDXX01,30
GLOBAL,PWRCCSITAXX01,30
GLOBAL,PWROCGNLDXX00,30
GLOBAL,PWRCCGBELXX01,30
GLOBAL,PWRCOAITAXX01,30
GLOBAL,PWRHYDDEUXX01,100
GLOBAL,PWRSPVDEUXX01,30
GLOBAL,PWRHYDAUTXX01,100
GLOBAL,PWRCCGAUTXX01,30
GLOBAL,PWRGEOITAXX01,30
GLOBAL,PWROCGFRAXX01,30
GLOBAL,PWRWAVCHEXX01,20
GLOBAL,PWRWOFAUTXX01,30
GLOBAL,PWROTHFRAXX01,30
GLOBAL,PWRURNFRAXX01,60
GLOBAL,PWRWAVITAXX01,20
GLOBAL,PWRCCGBELXX00,30
GLOBAL,PWROCGBELXX01,30
GLOBAL,PWRCOACHEXX01,30
GLOBAL,PWROCGLUXXX01,30
GLOBAL,PWRCCGLUXXX00,30
GLOBAL,PWRHYDPRTXX01,100
GLOBAL,PWRPETCHEXX01,30
GLOBAL,PWRCOGPRTXX01,30
GLOBAL,PWRCCSNLDXX01,30
GLOBAL,PWRPETITAXX01,30
GLOBAL,PWRCCGITAXX01,30
GLOBAL,PWRGEOFRAXX01,30
GLOBAL,PWRHYDITAXX01,100
GLOBAL,PWRGEOCHEXX01,30
GLOBAL,PWRGEONLDXX01,30
GLOBAL,PWROCGESPXX00,30
GLOBAL,PWRBIOITAXX01,30
GLOBAL,PWRCCSCHEXX01,30
GLOBAL,PWROCGITAXX00,30
GLOBAL,PWROCGDEUXX01,30
GLOBAL,PWRWONBELXX01,30
GLOBAL,PWRHYDLUXXX01,100
GLOBAL,TRNAUTXXCHEXX,60
GLOBAL,TRNAUTXXDEUXX,60
GLOBAL,TRNAUTXXITAXX,60
GLOBAL,TRNBELXXDEUXX,60
GLOBAL,TRNBELXXFRAXX,60
GLOBAL,TRNBELXXLUXXX,60
GLOBAL,TRNBELXXNLDXX,60
GLOBAL,TRNCHEXXDEUXX,60
GLOBAL,TRNCHEXXFRAXX,60
GLOBAL,TRNCHEXXITAXX,60
GLOBAL,TRNDEUXXFRAXX,60
GLOBAL,TRNDEUXXLUXXX,60
GLOBAL,TRNDEUXXNLDXX,60
GLOBAL,TRNESPXXFRAXX,60
GLOBAL,TRNESPXXPRTXX,60
GLOBAL,TRNFRAXXITAXX,60
GLOBAL,TRNFRAXXLUXXX,60
