REGION,FUEL,YEAR,VALUE
GLOBAL,ELCAUTXX01,2021,1
GLOBAL,ELCAUTXX01,2022,1
GLOBAL,ELCAUTXX01,2023,1
GLOBAL,ELCAUTXX01,2024,1
GLOBAL,ELCAUTXX01,2025,1
GLOBAL,ELCAUTXX01,2026,1
GLOBAL,ELCAUTXX01,2027,1
GLOBAL,ELCAUTXX01,2028,1
GLOBAL,ELCAUTXX01,2029,1
GLOBAL,ELCAUTXX01,2030,1
GLOBAL,ELCAUTXX01,2031,1
GLOBAL,ELCAUTXX01,2032,1
GLOBAL,ELCAUTXX01,2033,1
GLOBAL,ELCAUTXX01,2034,1
GLOBAL,ELCAUTXX01,2035,1
GLOBAL,ELCAUTXX01,2036,1
GLOBAL,ELCAUTXX01,2037,1
GLOBAL,ELCAUTXX01,2038,1
GLOBAL,ELCAUTXX01,2039,1
GLOBAL,ELCAUTXX01,2040,1
GLOBAL,ELCAUTXX01,2041,1
GLOBAL,ELCAUTXX01,2042,1
GLOBAL,ELCAUTXX01,2043,1
GLOBAL,ELCAUTXX01,2044,1
GLOBAL,ELCAUTXX01,2045,1
GLOBAL,ELCAUTXX01,2046,1
GLOBAL,ELCAUTXX01,2047,1
GLOBAL,ELCAUTXX01,2048,1
GLOBAL,ELCAUTXX01,2049,1
GLOBAL,ELCAUTXX01,2050,1
GLOBAL,ELCBELXX01,2021,1
GLOBAL,ELCBELXX01,2022,1
GLOBAL,ELCBELXX01,2023,1
GLOBAL,ELCBELXX01,2024,1
GLOBAL,ELCBELXX01,2025,1
GLOBAL,ELCBELXX01,2026,1
GLOBAL,ELCBELXX01,2027,1
GLOBAL,ELCBELXX01,2028,1
GLOBAL,ELCBELXX01,2029,1
GLOBAL,ELCBELXX01,2030,1
GLOBAL,ELCBELXX01,2031,1
GLOBAL,ELCBELXX01,2032,1
GLOBAL,ELCBELXX01,2033,1
GLOBAL,ELCBELXX01,2034,1
GLOBAL,ELCBELXX01,2035,1
GLOBAL,ELCBELXX01,2036,1
GLOBAL,ELCBELXX01,2037,1
GLOBAL,ELCBELXX01,2038,1
GLOBAL,ELCBELXX01,2039,1
GLOBAL,ELCBELXX01,2040,1
GLOBAL,ELCBELXX01,2041,1
GLOBAL,ELCBELXX01,2042,1
GLOBAL,ELCBELXX01,2043,1
GLOBAL,ELCBELXX01,2044,1
GLOBAL,ELCBELXX01,2045,1
GLOBAL,ELCBELXX01,2046,1
GLOBAL,ELCBELXX01,2047,1
GLOBAL,ELCBELXX01,2048,1
GLOBAL,ELCBELXX01,2049,1
GLOBAL,ELCBELXX01,2050,1
GLOBAL,ELCCHEXX01,2021,1
GLOBAL,ELCCHEXX01,2022,1
GLOBAL,ELCCHEXX01,2023,1
GLOBAL,ELCCHEXX01,2024,1
GLOBAL,ELCCHEXX01,2025,1
GLOBAL,ELCCHEXX01,2026,1
GLOBAL,ELCCHEXX01,2027,1
GLOBAL,ELCCHEXX01,2028,1
GLOBAL,ELCCHEXX01,2029,1
GLOBAL,ELCCHEXX01,2030,1
GLOBAL,ELCCHEXX01,2031,1
GLOBAL,ELCCHEXX01,2032,1
GLOBAL,ELCCHEXX01,2033,1
GLOBAL,ELCCHEXX01,2034,1
GLOBAL,ELCCHEXX01,2035,1
GLOBAL,ELCCHEXX01,2036,1
GLOBAL,ELCCHEXX01,2037,1
GLOBAL,ELCCHEXX01,2038,1
GLOBAL,ELCCHEXX01,2039,1
GLOBAL,ELCCHEXX01,2040,1
GLOBAL,ELCCHEXX01,2041,1
GLOBAL,ELCCHEXX01,2042,1
GLOBAL,ELCCHEXX01,2043,1
GLOBAL,ELCCHEXX01,2044,1
GLOBAL,ELCCHEXX01,2045,1
GLOBAL,ELCCHEXX01,2046,1
GLOBAL,ELCCHEXX01,2047,1
GLOBAL,ELCCHEXX01,2048,1
GLOBAL,ELCCHEXX01,2049,1
GLOBAL,ELCCHEXX01,2050,1
GLOBAL,ELCDEUXX01,2021,1
GLOBAL,ELCDEUXX01,2022,1
GLOBAL,ELCDEUXX01,2023,1
GLOBAL,ELCDEUXX01,2024,1
GLOBAL,ELCDEUXX01,2025,1
GLOBAL,ELCDEUXX01,2026,1
GLOBAL,ELCDEUXX01,2027,1
GLOBAL,ELCDEUXX01,2028,1
GLOBAL,ELCDEUXX01,2029,1
GLOBAL,ELCDEUXX01,2030,1
GLOBAL,ELCDEUXX01,2031,1
GLOBAL,ELCDEUXX01,2032,1
GLOBAL,ELCDEUXX01,2033,1
GLOBAL,ELCDEUXX01,2034,1
GLOBAL,ELCDEUXX01,2035,1
GLOBAL,ELCDEUXX01,2036,1
GLOBAL,ELCDEUXX01,2037,1
GLOBAL,ELCDEUXX01,2038,1
GLOBAL,ELCDEUXX01,2039,1
GLOBAL,ELCDEUXX01,2040,1
GLOBAL,ELCDEUXX01,2041,1
GLOBAL,ELCDEUXX01,2042,1
GLOBAL,ELCDEUXX01,2043,1
GLOBAL,ELCDEUXX01,2044,1
GLOBAL,ELCDEUXX01,2045,1
GLOBAL,ELCDEUXX01,2046,1
GLOBAL,ELCDEUXX01,2047,1
GLOBAL,ELCDEUXX01,2048,1
GLOBAL,ELCDEUXX01,2049,1
GLOBAL,ELCDEUXX01,2050,1
GLOBAL,ELCESPXX01,2021,1
GLOBAL,ELCESPXX01,2022,1
GLOBAL,ELCESPXX01,2023,1
GLOBAL,ELCESPXX01,2024,1
GLOBAL,ELCESPXX01,2025,1
GLOBAL,ELCESPXX01,2026,1
GLOBAL,ELCESPXX01,2027,1
GLOBAL,ELCESPXX01,2028,1
GLOBAL,ELCESPXX01,2029,1
GLOBAL,ELCESPXX01,2030,1
GLOBAL,ELCESPXX01,2031,1
GLOBAL,ELCESPXX01,2032,1
GLOBAL,ELCESPXX01,2033,1
GLOBAL,ELCESPXX01,2034,1
GLOBAL,ELCESPXX01,2035,1
GLOBAL,ELCESPXX01,2036,1
GLOBAL,ELCESPXX01,2037,1
GLOBAL,ELCESPXX01,2038,1
GLOBAL,ELCESPXX01,2039,1
GLOBAL,ELCESPXX01,2040,1
GLOBAL,ELCESPXX01,2041,1
GLOBAL,ELCESPXX01,2042,1
GLOBAL,ELCESPXX01,2043,1
GLOBAL,ELCESPXX01,2044,1
GLOBAL,ELCESPXX01,2045,1
GLOBAL,ELCESPXX01,2046,1
GLOBAL,ELCESPXX01,2047,1
GLOBAL,ELCESPXX01,2048,1
GLOBAL,ELCESPXX01,2049,1
GLOBAL,ELCESPXX01,2050,1
GLOBAL,ELCFRAXX01,2021,1
GLOBAL,ELCFRAXX01,2022,1
GLOBAL,ELCFRAXX01,2023,1
GLOBAL,ELCFRAXX01,2024,1
GLOBAL,ELCFRAXX01,2025,1
GLOBAL,ELCFRAXX01,2026,1
GLOBAL,ELCFRAXX01,2027,1
GLOBAL,ELCFRAXX01,2028,1
GLOBAL,ELCFRAXX01,2029,1
GLOBAL,ELCFRAXX01,2030,1
GLOBAL,ELCFRAXX01,2031,1
GLOBAL,ELCFRAXX01,2032,1
GLOBAL,ELCFRAXX01,2033,1
GLOBAL,ELCFRAXX01,2034,1
GLOBAL,ELCFRAXX01,2035,1
GLOBAL,ELCFRAXX01,2036,1
GLOBAL,ELCFRAXX01,2037,1
GLOBAL,ELCFRAXX01,2038,1
GLOBAL,ELCFRAXX01,2039,1
GLOBAL,ELCFRAXX01,2040,1
GLOBAL,ELCFRAXX01,2041,1
GLOBAL,ELCFRAXX01,2042,1
GLOBAL,ELCFRAXX01,2043,1
GLOBAL,ELCFRAXX01,2044,1
GLOBAL,ELCFRAXX01,2045,1
GLOBAL,ELCFRAXX01,2046,1
GLOBAL,ELCFRAXX01,2047,1
GLOBAL,ELCFRAXX01,2048,1
GLOBAL,ELCFRAXX01,2049,1
GLOBAL,ELCFRAXX01,2050,1
GLOBAL,ELCITAXX01,2021,1
GLOBAL,ELCITAXX01,2022,1
GLOBAL,ELCITAXX01,2023,1
GLOBAL,ELCITAXX01,2024,1
GLOBAL,ELCITAXX01,2025,1
GLOBAL,ELCITAXX01,2026,1
GLOBAL,ELCITAXX01,2027,1
GLOBAL,ELCITAXX01,2028,1
GLOBAL,ELCITAXX01,2029,1
GLOBAL,ELCITAXX01,2030,1
GLOBAL,ELCITAXX01,2031,1
GLOBAL,ELCITAXX01,2032,1
GLOBAL,ELCITAXX01,2033,1
GLOBAL,ELCITAXX01,2034,1
GLOBAL,ELCITAXX01,2035,1
GLOBAL,ELCITAXX01,2036,1
GLOBAL,ELCITAXX01,2037,1
GLOBAL,ELCITAXX01,2038,1
GLOBAL,ELCITAXX01,2039,1
GLOBAL,ELCITAXX01,2040,1
GLOBAL,ELCITAXX01,2041,1
GLOBAL,ELCITAXX01,2042,1
GLOBAL,ELCITAXX01,2043,1
GLOBAL,ELCITAXX01,2044,1
GLOBAL,ELCITAXX01,2045,1
GLOBAL,ELCITAXX01,2046,1
GLOBAL,ELCITAXX01,2047,1
GLOBAL,ELCITAXX01,2048,1
GLOBAL,ELCITAXX01,2049,1
GLOBAL,ELCITAXX01,2050,1
GLOBAL,ELCLUXXX01,2021,1
GLOBAL,ELCLUXXX01,2022,1
GLOBAL,ELCLUXXX01,2023,1
GLOBAL,ELCLUXXX01,2024,1
GLOBAL,ELCLUXXX01,2025,1
GLOBAL,ELCLUXXX01,2026,1
GLOBAL,ELCLUXXX01,2027,1
GLOBAL,ELCLUXXX01,2028,1
GLOBAL,ELCLUXXX01,2029,1
GLOBAL,ELCLUXXX01,2030,1
GLOBAL,ELCLUXXX01,2031,1
GLOBAL,ELCLUXXX01,2032,1
GLOBAL,ELCLUXXX01,2033,1
GLOBAL,ELCLUXXX01,2034,1
GLOBAL,ELCLUXXX01,2035,1
GLOBAL,ELCLUXXX01,2036,1
GLOBAL,ELCLUXXX01,2037,1
GLOBAL,ELCLUXXX01,2038,1
GLOBAL,ELCLUXXX01,2039,1
GLOBAL,ELCLUXXX01,2040,1
GLOBAL,ELCLUXXX01,2041,1
GLOBAL,ELCLUXXX01,2042,1
GLOBAL,ELCLUXXX01,2043,1
GLOBAL,ELCLUXXX01,2044,1
GLOBAL,ELCLUXXX01,2045,1
GLOBAL,ELCLUXXX01,2046,1
GLOBAL,ELCLUXXX01,2047,1
GLOBAL,ELCLUXXX01,2048,1
GLOBAL,ELCLUXXX01,2049,1
GLOBAL,ELCLUXXX01,2050,1
GLOBAL,ELCNLDXX01,2021,1
GLOBAL,ELCNLDXX01,2022,1
GLOBAL,ELCNLDXX01,2023,1
GLOBAL,ELCNLDXX01,2024,1
GLOBAL,ELCNLDXX01,2025,1
