REGION,FUEL,YEAR,VALUE
GLOBAL,ELCAUTXX02,2021,272.08
GLOBAL,ELCBELXX02,2021,566.33
GLOBAL,ELCCHEXX02,2021,295.28
GLOBAL,ELCDEUXX02,2021,2794.87
GLOBAL,ELCESPXX02,2021,1729.58
GLOBAL,ELCFRAXX02,2021,2773.94
GLOBAL,ELCITAXX02,2021,1693.78
GLOBAL,ELCLUXXX02,2021,32.11
GLOBAL,ELCNLDXX02,2021,722.6
GLOBAL,ELCPRTXX02,2021,228.45
GLOBAL,ELCAUTXX02,2022,272.87
GLOBAL,ELCBELXX02,2022,570.92
GLOBAL,ELCCHEXX02,2022,300.27
GLOBAL,ELCDEUXX02,2022,2824.37
GLOBAL,ELCESPXX02,2022,1748.65
GLOBAL,ELCFRAXX02,2022,2806.0
GLOBAL,ELCITAXX02,2022,1716.15
GLOBAL,ELCLUXXX02,2022,32.8
GLOBAL,ELCNLDXX02,2022,731.54
GLOBAL,ELCPRTXX02,2022,234.1
GLOBAL,ELCAUTXX02,2023,273.66
GLOBAL,ELCBELXX02,2023,575.51
GLOBAL,ELCCHEXX02,2023,305.27
GLOBAL,ELCDEUXX02,2023,2853.88
GLOBAL,ELCESPXX02,2023,1767.72
GLOBAL,ELCFRAXX02,2023,2838.07
GLOBAL,ELCITAXX02,2023,1738.53
GLOBAL,ELCLUXXX02,2023,33.49
GLOBAL,ELCNLDXX02,2023,740.49
GLOBAL,ELCPRTXX02,2023,239.75
GLOBAL,ELCAUTXX02,2024,274.45
GLOBAL,ELCBELXX02,2024,580.09
GLOBAL,ELCCHEXX02,2024,310.27
GLOBAL,ELCDEUXX02,2024,2883.38
GLOBAL,ELCESPXX02,2024,1786.79
GLOBAL,ELCFRAXX02,2024,2870.13
GLOBAL,ELCITAXX02,2024,1760.9
GLOBAL,ELCLUXXX02,2024,34.18
GLOBAL,ELCNLDXX02,2024,749.43
GLOBAL,ELCPRTXX02,2024,245.41
GLOBAL,ELCAUTXX02,2025,275.24
GLOBAL,ELCBELXX02,2025,584.68
GLOBAL,ELCCHEXX02,2025,315.26
GLOBAL,ELCDEUXX02,2025,2912.89
GLOBAL,ELCESPXX02,2025,1805.87
GLOBAL,ELCFRAXX02,2025,2902.19
GLOBAL,ELCITAXX02,2025,1783.28
GLOBAL,ELCLUXXX02,2025,34.87
GLOBAL,ELCNLDXX02,2025,758.38
GLOBAL,ELCPRTXX02,2025,251.06
GLOBAL,ELCAUTXX02,2026,279.47
GLOBAL,ELCBELXX02,2026,589.66
GLOBAL,ELCCHEXX02,2026,320.1
GLOBAL,ELCDEUXX02,2026,2940.29
