REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGBELXX00,2021,0.0
GLOBAL,PWRCCGBELXX00,2022,0.0
GLOBAL,PWRCCGBELXX00,2023,0.0
GLOBAL,PWRCCGBELXX00,2024,0.0
GLOBAL,PWRCCGBELXX00,2025,0.0
GLOBAL,PWRCCGBELXX00,2026,0.0
GLOBAL,PWRCCGBELXX00,2027,0.0
GLOBAL,PWRCCGBELXX00,2028,0.0
GLOBAL,PWRCCGBELXX00,2029,0.0
GLOBAL,PWRCCGBELXX00,2030,0.0
GLOBAL,PWRCCGBELXX00,2031,0.0
GLOBAL,PWRCCGBELXX00,2032,0.0
GLOBAL,PWRCCGBELXX00,2033,0.0
GLOBAL,PWRCCGBELXX00,2034,0.0
GLOBAL,PWRCCGBELXX00,2035,0.0
GLOBAL,PWRCCGBELXX00,2036,0.0
GLOBAL,PWRCCGBELXX00,2037,0.0
GLOBAL,PWRCCGBELXX00,2038,0.0
GLOBAL,PWRCCGBELXX00,2039,0.0
GLOBAL,PWRCCGBELXX00,2040,0.0
GLOBAL,PWRCCGBELXX00,2041,0.0
GLOBAL,PWRCCGBELXX00,2042,0.0
GLOBAL,PWRCCGBELXX00,2043,0.0
GLOBAL,PWRCCGBELXX00,2044,0.0
GLOBAL,PWRCCGBELXX00,2045,0.0
GLOBAL,PWRCCGBELXX00,2046,0.0
GLOBAL,PWRCCGBELXX00,2047,0.0
GLOBAL,PWRCCGBELXX00,2048,0.0
GLOBAL,PWRCCGBELXX00,2049,0.0
GLOBAL,PWRCCGBELXX00,2050,0.0
GLOBAL,PWROCGCHEXX00,2021,0.0
GLOBAL,PWROCGCHEXX00,2022,0.0
GLOBAL,PWROCGCHEXX00,2023,0.0
GLOBAL,PWROCGCHEXX00,2024,0.0
GLOBAL,PWROCGCHEXX00,2025,0.0
GLOBAL,PWROCGCHEXX00,2026,0.0
GLOBAL,PWROCGCHEXX00,2027,0.0
GLOBAL,PWROCGCHEXX00,2028,0.0
GLOBAL,PWROCGCHEXX00,2029,0.0
GLOBAL,PWROCGCHEXX00,2030,0.0
GLOBAL,PWROCGCHEXX00,2031,0.0
GLOBAL,PWROCGCHEXX00,2032,0.0
GLOBAL,PWROCGCHEXX00,2033,0.0
GLOBAL,PWROCGCHEXX00,2034,0.0
GLOBAL,PWROCGCHEXX00,2035,0.0
GLOBAL,PWROCGCHEXX00,2036,0.0
GLOBAL,PWROCGCHEXX00,2037,0.0
GLOBAL,PWROCGCHEXX00,2038,0.0
GLOBAL,PWROCGCHEXX00,2039,0.0
GLOBAL,PWROCGCHEXX00,2040,0.0
GLOBAL,PWROCGCHEXX00,2041,0.0
GLOBAL,PWROCGCHEXX00,2042,0.0
GLOBAL,PWROCGCHEXX00,2043,0.0
GLOBAL,PWROCGCHEXX00,2044,0.0
GLOBAL,PWROCGCHEXX00,2045,0.0
GLOBAL,PWROCGCHEXX00,2046,0.0
GLOBAL,PWROCGCHEXX00,2047,0.0
GLOBAL,PWROCGCHEXX00,2048,0.0
GLOBAL,PWROCGCHEXX00,2049,0.0
GLOBAL,PWROCGCHEXX00,2050,0.0
GLOBAL,PWROCGDEUXX00,2021,0.0
GLOBAL,PWROCGDEUXX00,2022,0.0
GLOBAL,PWROCGDEUXX00,2023,0.0
GLOBAL,PWROCGDEUXX00,2024,0.0
GLOBAL,PWROCGDEUXX00,2025,0.0
GLOBAL,PWROCGDEUXX00,2026,0.0
GLOBAL,PWROCGDEUXX00,2027,0.0
GLOBAL,PWROCGDEUXX00,2028,0.0
GLOBAL,PWROCGDEUXX00,2029,0.0
GLOBAL,PWROCGDEUXX00,2030,0.0
GLOBAL,PWROCGDEUXX00,2031,0.0
GLOBAL,PWROCGDEUXX00,2032,0.0
GLOBAL,PWROCGDEUXX00,2033,0.0
GLOBAL,PWROCGDEUXX00,2034,0.0
GLOBAL,PWROCGDEUXX00,2035,0.0
GLOBAL,PWROCGDEUXX00,2036,0.0
GLOBAL,PWROCGDEUXX00,2037,0.0
GLOBAL,PWROCGDEUXX00,2038,0.0
GLOBAL,PWROCGDEUXX00,2039,0.0
GLOBAL,PWROCGDEUXX00,2040,0.0
GLOBAL,PWROCGDEUXX00,2041,0.0
GLOBAL,PWROCGDEUXX00,2042,0.0
GLOBAL,PWROCGDEUXX00,2043,0.0
GLOBAL,PWROCGDEUXX00,2044,0.0
GLOBAL,PWROCGDEUXX00,2045,0.0
GLOBAL,PWROCGDEUXX00,2046,0.0
GLOBAL,PWROCGDEUXX00,2047,0.0
GLOBAL,PWROCGDEUXX00,2048,0.0
GLOBAL,PWROCGDEUXX00,2049,0.0
GLOBAL,PWROCGDEUXX00,2050,0.0
GLOBAL,PWROCGITAXX00,2021,0.0
GLOBAL,PWROCGITAXX00,2022,0.0
GLOBAL,PWROCGITAXX00,2023,0.0
GLOBAL,PWROCGITAXX00,2024,0.0
GLOBAL,PWROCGITAXX00,2025,0.0
GLOBAL,PWROCGITAXX00,2026,0.0
GLOBAL,PWROCGITAXX00,2027,0.0
GLOBAL,PWROCGITAXX00,2028,0.0
GLOBAL,PWROCGITAXX00,2029,0.0
GLOBAL,PWROCGITAXX00,2030,0.0
GLOBAL,PWROCGITAXX00,2031,0.0
GLOBAL,PWROCGITAXX00,2032,0.0
GLOBAL,PWROCGITAXX00,2033,0.0
GLOBAL,PWROCGITAXX00,2034,0.0
GLOBAL,PWROCGITAXX00,2035,0.0
GLOBAL,PWROCGITAXX00,2036,0.0
GLOBAL,PWROCGITAXX00,2037,0.0
GLOBAL,PWROCGITAXX00,2038,0.0
GLOBAL,PWROCGITAXX00,2039,0.0
GLOBAL,PWROCGITAXX00,2040,0.0
GLOBAL,PWROCGITAXX00,2041,0.0
GLOBAL,PWROCGITAXX00,2042,0.0
GLOBAL,PWROCGITAXX00,2043,0.0
GLOBAL,PWROCGITAXX00,2044,0.0
GLOBAL,PWROCGITAXX00,2045,0.0
GLOBAL,PWROCGITAXX00,2046,0.0
GLOBAL,PWROCGITAXX00,2047,0.0
GLOBAL,PWROCGITAXX00,2048,0.0
GLOBAL,PWROCGITAXX00,2049,0.0
GLOBAL,PWROCGITAXX00,2050,0.0
GLOBAL,PWROCGFRAXX00,2021,0.0
GLOBAL,PWROCGFRAXX00,2022,0.0
GLOBAL,PWROCGFRAXX00,2023,0.0
GLOBAL,PWROCGFRAXX00,2024,0.0
GLOBAL,PWROCGFRAXX00,2025,0.0
GLOBAL,PWROCGFRAXX00,2026,0.0
GLOBAL,PWROCGFRAXX00,2027,0.0
GLOBAL,PWROCGFRAXX00,2028,0.0
GLOBAL,PWROCGFRAXX00,2029,0.0
GLOBAL,PWROCGFRAXX00,2030,0.0
GLOBAL,PWROCGFRAXX00,2031,0.0
GLOBAL,PWROCGFRAXX00,2032,0.0
GLOBAL,PWROCGFRAXX00,2033,0.0
GLOBAL,PWROCGFRAXX00,2034,0.0
GLOBAL,PWROCGFRAXX00,2035,0.0
GLOBAL,PWROCGFRAXX00,2036,0.0
GLOBAL,PWROCGFRAXX00,2037,0.0
GLOBAL,PWROCGFRAXX00,2038,0.0
GLOBAL,PWROCGFRAXX00,2039,0.0
GLOBAL,PWROCGFRAXX00,2040,0.0
GLOBAL,PWROCGFRAXX00,2041,0.0
GLOBAL,PWROCGFRAXX00,2042,0.0
GLOBAL,PWROCGFRAXX00,2043,0.0
GLOBAL,PWROCGFRAXX00,2044,0.0
GLOBAL,PWROCGFRAXX00,2045,0.0
GLOBAL,PWROCGFRAXX00,2046,0.0
GLOBAL,PWROCGFRAXX00,2047,0.0
GLOBAL,PWROCGFRAXX00,2048,0.0
GLOBAL,PWROCGFRAXX00,2049,0.0
GLOBAL,PWROCGFRAXX00,2050,0.0
GLOBAL,PWRCCGPRTXX00,2021,0.0
GLOBAL,PWRCCGPRTXX00,2022,0.0
GLOBAL,PWRCCGPRTXX00,2023,0.0
GLOBAL,PWRCCGPRTXX00,2024,0.0
GLOBAL,PWRCCGPRTXX00,2025,0.0
GLOBAL,PWRCCGPRTXX00,2026,0.0
GLOBAL,PWRCCGPRTXX00,2027,0.0
GLOBAL,PWRCCGPRTXX00,2028,0.0
GLOBAL,PWRCCGPRTXX00,2029,0.0
GLOBAL,PWRCCGPRTXX00,2030,0.0
GLOBAL,PWRCCGPRTXX00,2031,0.0
GLOBAL,PWRCCGPRTXX00,2032,0.0
GLOBAL,PWRCCGPRTXX00,2033,0.0
GLOBAL,PWRCCGPRTXX00,2034,0.0
GLOBAL,PWRCCGPRTXX00,2035,0.0
GLOBAL,PWRCCGPRTXX00,2036,0.0
GLOBAL,PWRCCGPRTXX00,2037,0.0
GLOBAL,PWRCCGPRTXX00,2038,0.0
GLOBAL,PWRCCGPRTXX00,2039,0.0
GLOBAL,PWRCCGPRTXX00,2040,0.0
